"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2020-11-23","14:30:00",3568.09,"89 Nov 25 3525 P STO 6.55 | 89 Nov 25 3615 C STO 3.10 | 89 Nov 27 3525 P BTO 10.30 | 89 Nov 27 3615 C BTO 5.60",-635,3628.31,"2020-11-24","11:34:00",-570,"Below Delta",-6639.4,89,1413433,56515,"",427.2,427.2,0.607,0.796,9.28,1.27,3.15,-8.66
"2020-11-16","14:30:00",3615.18,"45 Nov 18 3565 P STO 7.10 | 45 Nov 18 3665 C STO 3.90 | 45 Nov 20 3565 P BTO 14.05 | 45 Nov 20 3665 C BTO 9.35",-1250,3616.09,"2020-11-18","09:45:00",-910,"Exited at Specified Time",-15732,45,1420072.4,56250,"",216,216,0.47,0.08,15.01,15.02,0.4,-26.4
"2020-11-09","14:30:00",3602.14,"45 Nov 11 3540 P STO 8.60 | 45 Nov 11 3670 C STO 5.40 | 45 Nov 13 3540 P BTO 15.85 | 45 Nov 13 3670 C BTO 10.80",-1275,3567.95,"2020-11-11","09:45:00",-1295,"Exited at Specified Time",468,45,1435804.4,57375,"",216,216,0.525,0.194,73.6,19.1,13.73,-7.84
"2020-10-26","14:30:00",3394.07,"34 Oct 28 3330 P STO 8.65 | 34 Oct 28 3460 C STO 5.35 | 34 Oct 30 3330 P BTO 17.70 | 34 Oct 30 3460 C BTO 12.55",-1635,3333.36,"2020-10-28","09:45:00",-1940,"Exited at Specified Time",10043.6,34,1435336.4,55590,"",163.2,163.2,0.463,0.417,-23.97,-47.35,23.55,-14.98
"2020-10-19","14:30:00",3459.16,"44 Oct 21 3405 P STO 7.25 | 44 Oct 21 3515 C STO 4.90 | 44 Oct 23 3405 P BTO 14.15 | 44 Oct 23 3515 C BTO 10.70",-1280,3456.72,"2020-10-21","09:45:00",-1500,"Exited at Specified Time",9257.6,44,1425292.8,56320,"",211.2,211.2,0.489,0.085,9.85,-34.5,20.7,-5.47
"2020-10-12","14:30:00",3549.26,"44 Oct 14 3500 P STO 6.50 | 44 Oct 14 3600 C STO 3.40 | 44 Oct 16 3500 P BTO 13.40 | 44 Oct 16 3600 C BTO 9.00",-1260,3524.25,"2020-10-14","09:45:00",-1245,"Exited at Specified Time",-1082.4,44,1416035.2,55440,"",211.2,211.2,0.442,0.182,22.88,49.24,6.75,-7.14
"2020-10-05","14:30:00",3389.99,"40 Oct 7 3335 P STO 7.50 | 40 Oct 7 3445 C STO 4.40 | 40 Oct 9 3335 P BTO 15.40 | 40 Oct 9 3445 C BTO 10.40",-1400,3402.58,"2020-10-07","09:45:00",-1360,"Exited at Specified Time",-1984,40,1417117.6,56000,"",192,192,0.461,0.093,18.85,22.72,10.36,-7.86
"2020-09-28","14:30:00",3356.61,"31 Sep 30 3300 P STO 7.80 | 31 Sep 30 3415 C STO 4.30 | 31 Oct 2 3300 P BTO 18.00 | 31 Oct 2 3415 C BTO 12.15",-1815,3350.89,"2020-09-30","09:45:00",-1970,"Exited at Specified Time",4507.4,31,1419101.6,56265,"",148.8,148.8,0.401,0.083,35.44,22.71,9.92,-7.16
"2020-09-21","14:30:00",3244.75,"37 Sep 23 3175 P STO 9.25 | 37 Sep 23 3310 C STO 5.60 | 37 Sep 25 3175 P BTO 17.80 | 37 Sep 25 3310 C BTO 12.20",-1525,3321.43,"2020-09-23","09:40:00",-1455,"Below Delta",-2945.2,37,1414594.2,56425,"",177.6,177.6,0.495,0.559,-33.9,-40.82,3.93,-9.84
"2020-09-14","14:30:00",3387.17,"39 Sep 16 3325 P STO 8.50 | 39 Sep 16 3450 C STO 4.40 | 39 Sep 18 3325 P BTO 16.45 | 39 Sep 18 3450 C BTO 10.80",-1445,3405.76,"2020-09-16","09:45:00",-1475,"Exited at Specified Time",795.6,39,1417539.4,56355,"",187.2,187.2,0.473,0.103,22.59,23.61,8.65,-3.81
"2020-08-31","14:30:00",3505.94,"46 Sep 2 3465 P STO 5.10 | 46 Sep 2 3545 C STO 2.95 | 46 Sep 4 3465 P BTO 11.85 | 46 Sep 4 3545 C BTO 8.20",-1210,3546.87,"2020-09-02","09:45:00",-1445,"Exited at Specified Time",10368.4,46,1416743.8,55660,"",220.8,220.8,0.401,0.363,1.72,-3.79,30.58,-7.02
"2020-08-24","14:30:00",3420.3,"48 Aug 26 3385 P STO 4.50 | 48 Aug 26 3450 C STO 2.80 | 48 Aug 28 3385 P BTO 10.80 | 48 Aug 28 3450 C BTO 8.05",-1165,3445.44,"2020-08-26","09:45:00",-1300,"Exited at Specified Time",6019.2,48,1406375.4,55920,"",230.4,230.4,0.387,0.232,20.93,2.21,12.45,-3.43
